epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.2171,1.39381,2.4457,1.28662,0.94236,0.14231,0.40018,0.2441,1.16266,2.53141,1.09179,0.000649573,0.000649573,0.000649573
2,20.0509,1.32657,1.68822,1.22508,0.73638,0.41192,0.48423,0.30491,1.28111,2.06638,1.20698,0.00130321,0.00130321,0.00130321
3,29.8046,1.32258,1.58187,1.23426,0.54738,0.46646,0.48344,0.29056,1.38222,1.7072,1.31409,0.00194364,0.00194364,0.00194364
4,39.4938,1.32136,1.51629,1.21458,0.63392,0.53456,0.56366,0.32939,1.35743,1.73833,1.27533,0.0019406,0.0019406,0.0019406
5,49.1033,1.28564,1.43288,1.20956,0.70919,0.5448,0.61336,0.39786,1.23601,1.58541,1.18815,0.0019208,0.0019208,0.0019208
6,58.8057,1.2263,1.33063,1.18099,0.67743,0.5538,0.58012,0.3747,1.29455,2.17967,1.19968,0.001901,0.001901,0.001901
7,68.37,1.21824,1.28064,1.17249,0.73794,0.55812,0.63077,0.42631,1.20685,1.2731,1.17134,0.0018812,0.0018812,0.0018812
8,77.8661,1.19782,1.26929,1.17443,0.74843,0.60676,0.67192,0.46235,1.09902,1.27316,1.1078,0.0018614,0.0018614,0.0018614
9,87.363,1.18647,1.20709,1.18104,0.78631,0.5916,0.69689,0.48757,1.0742,1.12403,1.08454,0.0018416,0.0018416,0.0018416
10,96.8701,1.17874,1.1763,1.15861,0.7642,0.60737,0.68844,0.46999,1.1041,1.09798,1.10792,0.0018218,0.0018218,0.0018218
11,106.344,1.12927,1.10787,1.12553,0.79187,0.65796,0.73895,0.52286,1.03757,0.96215,1.04843,0.001802,0.001802,0.001802
12,115.806,1.13567,1.10602,1.11525,0.80042,0.63492,0.7204,0.50425,1.04503,0.98756,1.04674,0.0017822,0.0017822,0.0017822
13,125.283,1.116,1.07343,1.1231,0.80682,0.62017,0.71688,0.51104,1.04024,1.02376,1.06895,0.0017624,0.0017624,0.0017624
14,134.898,1.10238,1.06075,1.11855,0.78433,0.6145,0.712,0.50388,1.0591,0.99227,1.076,0.0017426,0.0017426,0.0017426
15,144.672,1.0683,0.99593,1.09537,0.81288,0.63902,0.73092,0.52217,1.03245,0.99032,1.05172,0.0017228,0.0017228,0.0017228
16,154.509,1.10033,1.01379,1.11254,0.74312,0.63989,0.69951,0.49911,1.03328,1.35732,1.06443,0.001703,0.001703,0.001703
17,164.371,1.08252,1.00497,1.10936,0.81263,0.6529,0.74674,0.54296,0.99802,0.92174,1.03881,0.0016832,0.0016832,0.0016832
18,174.332,1.05497,0.96589,1.0869,0.82477,0.65792,0.7524,0.54735,0.98873,0.89888,1.03173,0.0016634,0.0016634,0.0016634
19,184.325,1.05431,0.96042,1.10018,0.83747,0.66462,0.75126,0.54638,1.00729,0.89088,1.03059,0.0016436,0.0016436,0.0016436
20,194.411,1.04822,0.93816,1.08831,0.81017,0.66718,0.75338,0.55737,0.95623,0.91824,1.01694,0.0016238,0.0016238,0.0016238
21,204.603,1.05194,0.94466,1.07862,0.829,0.6554,0.75929,0.56567,0.95807,0.84987,1.0212,0.001604,0.001604,0.001604
22,214.928,1.03142,0.92187,1.08081,0.82916,0.66923,0.7565,0.54887,0.96593,0.88332,1.01776,0.0015842,0.0015842,0.0015842
23,225.145,1.01985,0.89345,1.06942,0.84877,0.67025,0.76269,0.56134,0.9612,0.86536,1.01772,0.0015644,0.0015644,0.0015644
24,237.845,1.00843,0.87978,1.07842,0.86658,0.65851,0.76926,0.57465,0.94126,0.85283,1.01574,0.0015446,0.0015446,0.0015446
25,247.891,1.00276,0.89461,1.06515,0.82655,0.69739,0.78191,0.57847,0.9425,0.80805,1.0107,0.0015248,0.0015248,0.0015248
26,258.065,0.99928,0.87913,1.064,0.85214,0.67588,0.77454,0.56962,0.95291,0.82163,1.01022,0.001505,0.001505,0.001505
27,268.274,0.98592,0.85756,1.05352,0.8638,0.68197,0.77994,0.58028,0.92278,0.80671,1.00389,0.0014852,0.0014852,0.0014852
28,281.423,1.01044,0.87775,1.05503,0.87374,0.66564,0.78397,0.58953,0.91433,0.7835,1.00252,0.0014654,0.0014654,0.0014654
29,291.622,0.99948,0.87607,1.07389,0.84627,0.64619,0.75546,0.55738,0.95463,0.83203,1.01256,0.0014456,0.0014456,0.0014456
30,302.03,0.97843,0.85817,1.05493,0.83643,0.68356,0.77247,0.57663,0.93434,0.81896,0.99241,0.0014258,0.0014258,0.0014258
31,312.395,0.95336,0.83784,1.04552,0.84277,0.66968,0.76845,0.57455,0.93709,0.80501,1.00256,0.001406,0.001406,0.001406
32,322.874,0.98999,0.84239,1.07076,0.8374,0.67896,0.77217,0.58145,0.915,0.80682,0.99761,0.0013862,0.0013862,0.0013862
33,333.305,0.9479,0.78571,1.0294,0.80329,0.70885,0.78821,0.59028,0.90574,0.78782,0.98323,0.0013664,0.0013664,0.0013664
34,343.743,0.98173,0.8329,1.05911,0.81137,0.70046,0.77772,0.58179,0.91725,0.79974,0.98992,0.0013466,0.0013466,0.0013466
35,354.221,0.95119,0.81683,1.03919,0.83608,0.71039,0.79637,0.60324,0.88429,0.74712,0.98057,0.0013268,0.0013268,0.0013268
36,364.785,0.93185,0.7766,1.03202,0.86789,0.69176,0.79377,0.59915,0.89648,0.74691,0.97999,0.001307,0.001307,0.001307
37,375.288,0.93973,0.77964,1.03129,0.86481,0.68766,0.78985,0.59031,0.91338,0.76241,0.99551,0.0012872,0.0012872,0.0012872
38,385.854,0.93651,0.78341,1.04719,0.86523,0.69363,0.79842,0.59124,0.91053,0.77423,0.98939,0.0012674,0.0012674,0.0012674
39,396.358,0.91938,0.78513,1.02186,0.8651,0.69585,0.79719,0.60032,0.89084,0.7591,0.98298,0.0012476,0.0012476,0.0012476
40,406.978,0.94405,0.77347,1.03525,0.85489,0.70886,0.80302,0.59937,0.88278,0.75072,0.98334,0.0012278,0.0012278,0.0012278
41,420.438,0.92687,0.76906,1.031,0.85738,0.7203,0.80997,0.6064,0.88324,0.73013,0.98457,0.001208,0.001208,0.001208
42,430.798,0.91086,0.74853,1.01566,0.85348,0.7107,0.80783,0.60601,0.88045,0.73548,0.97282,0.0011882,0.0011882,0.0011882
43,441.356,0.92112,0.75887,1.02236,0.85702,0.70592,0.7996,0.60266,0.87584,0.75722,0.96971,0.0011684,0.0011684,0.0011684
44,452.033,0.89732,0.74153,1.01863,0.84849,0.71326,0.80338,0.60299,0.89209,0.72693,0.9779,0.0011486,0.0011486,0.0011486
45,462.569,0.89652,0.73564,1.02501,0.86513,0.70615,0.80423,0.59439,0.88314,0.7431,0.97602,0.0011288,0.0011288,0.0011288
46,473.404,0.89632,0.72927,1.02246,0.86207,0.70917,0.80645,0.60964,0.86745,0.72293,0.96525,0.001109,0.001109,0.001109
47,484.017,0.90995,0.74573,1.02644,0.85499,0.72453,0.80708,0.60685,0.88997,0.73138,0.97215,0.0010892,0.0010892,0.0010892
48,494.72,0.90117,0.73779,1.0103,0.88289,0.7148,0.81864,0.62167,0.8597,0.69968,0.96373,0.0010694,0.0010694,0.0010694
49,505.368,0.89298,0.72781,1.00978,0.85904,0.72708,0.82029,0.62135,0.85231,0.68948,0.96272,0.0010496,0.0010496,0.0010496
50,516.095,0.87798,0.71094,1.01158,0.87495,0.7165,0.81782,0.62356,0.85446,0.68886,0.95818,0.0010298,0.0010298,0.0010298
51,529.795,0.88964,0.71677,1.02301,0.87304,0.70419,0.81376,0.61401,0.86323,0.70618,0.9632,0.00101,0.00101,0.00101
52,540.367,0.89218,0.70603,1.00811,0.86704,0.71326,0.81535,0.62372,0.86183,0.69801,0.96389,0.0009902,0.0009902,0.0009902
53,550.981,0.86506,0.6891,0.99579,0.87891,0.7235,0.82571,0.62837,0.8506,0.67722,0.95648,0.0009704,0.0009704,0.0009704
54,561.754,0.87213,0.70575,0.99931,0.86418,0.73374,0.82127,0.62095,0.84669,0.68606,0.95271,0.0009506,0.0009506,0.0009506
55,572.494,0.86188,0.67878,1.00236,0.87746,0.71582,0.82737,0.61946,0.88187,0.69488,0.96827,0.0009308,0.0009308,0.0009308
56,585.972,0.87323,0.69116,1.00735,0.86981,0.70712,0.81415,0.61097,0.87554,0.73727,0.96088,0.000911,0.000911,0.000911
57,596.599,0.85804,0.68165,0.99254,0.85157,0.73443,0.82282,0.62713,0.85249,0.70385,0.95727,0.0008912,0.0008912,0.0008912
58,607.237,0.85848,0.67048,0.99813,0.90166,0.69953,0.81722,0.62122,0.85016,0.69043,0.96203,0.0008714,0.0008714,0.0008714
59,617.902,0.86251,0.67357,1.00373,0.86402,0.72709,0.82545,0.62451,0.85959,0.68181,0.95773,0.0008516,0.0008516,0.0008516
60,632.729,0.89092,0.71416,1.01553,0.85601,0.72913,0.82819,0.63268,0.84285,0.67102,0.95225,0.0008318,0.0008318,0.0008318
61,643.2,0.84701,0.67111,0.99116,0.85403,0.72795,0.8223,0.62934,0.82982,0.66584,0.95365,0.000812,0.000812,0.000812
62,653.956,0.82503,0.63709,0.97126,0.86016,0.73886,0.83029,0.63813,0.83407,0.66645,0.94759,0.0007922,0.0007922,0.0007922
63,664.508,0.83887,0.65217,0.98433,0.89009,0.72569,0.83173,0.63811,0.82266,0.65563,0.94526,0.0007724,0.0007724,0.0007724
64,675.232,0.8561,0.66205,0.99248,0.90554,0.71173,0.83203,0.62978,0.83393,0.66652,0.94888,0.0007526,0.0007526,0.0007526
65,685.954,0.81904,0.63472,0.98984,0.89481,0.7107,0.82251,0.62612,0.84287,0.67582,0.95436,0.0007328,0.0007328,0.0007328
66,696.648,0.82076,0.63744,0.98545,0.88688,0.72662,0.82652,0.62721,0.84277,0.66027,0.9548,0.000713,0.000713,0.000713
67,707.463,0.84468,0.62902,0.9802,0.87145,0.73221,0.8272,0.6345,0.82678,0.64501,0.94437,0.0006932,0.0006932,0.0006932
68,718.24,0.80923,0.62457,0.97706,0.90201,0.70703,0.81951,0.63208,0.82649,0.66351,0.94485,0.0006734,0.0006734,0.0006734
69,728.871,0.82284,0.63222,0.98773,0.8754,0.7363,0.83124,0.63622,0.82578,0.64871,0.94677,0.0006536,0.0006536,0.0006536
70,739.567,0.83062,0.62475,0.98254,0.87808,0.72555,0.8329,0.63945,0.8218,0.65002,0.93778,0.0006338,0.0006338,0.0006338
71,750.346,0.82084,0.63636,0.97462,0.87275,0.74096,0.83508,0.64274,0.80911,0.64901,0.93486,0.000614,0.000614,0.000614
72,761.091,0.84659,0.64748,0.98161,0.8841,0.71869,0.82615,0.62999,0.82272,0.65766,0.93982,0.0005942,0.0005942,0.0005942
73,771.827,0.82266,0.6214,0.97801,0.86741,0.75013,0.83545,0.63972,0.82905,0.64893,0.94669,0.0005744,0.0005744,0.0005744
74,782.575,0.79538,0.61587,0.96872,0.85067,0.76132,0.8393,0.64305,0.81889,0.63598,0.94276,0.0005546,0.0005546,0.0005546
75,793.313,0.80062,0.60616,0.96983,0.89077,0.73374,0.84131,0.64569,0.81608,0.63023,0.94234,0.0005348,0.0005348,0.0005348
76,804.059,0.82572,0.62602,0.99341,0.87429,0.74091,0.83724,0.64528,0.82348,0.63765,0.94777,0.000515,0.000515,0.000515
77,818.77,0.78774,0.60362,0.96385,0.87278,0.74474,0.84123,0.6486,0.80955,0.6359,0.94055,0.0004952,0.0004952,0.0004952
78,829.31,0.76263,0.5803,0.95019,0.88828,0.73682,0.83444,0.64338,0.81024,0.63742,0.93504,0.0004754,0.0004754,0.0004754
79,839.885,0.82101,0.62902,0.97809,0.88628,0.74142,0.83885,0.64638,0.81883,0.63856,0.93529,0.0004556,0.0004556,0.0004556
80,850.616,0.79275,0.59408,0.97146,0.88544,0.73477,0.83685,0.6473,0.79993,0.62671,0.93254,0.0004358,0.0004358,0.0004358
81,861.522,0.76651,0.58339,0.95895,0.88481,0.73733,0.8416,0.64913,0.80363,0.61859,0.93234,0.000416,0.000416,0.000416
82,875.995,0.77032,0.5793,0.97008,0.87213,0.75785,0.84471,0.6514,0.79754,0.6119,0.9359,0.0003962,0.0003962,0.0003962
83,886.615,0.78419,0.58218,0.96395,0.88932,0.74194,0.83919,0.64976,0.80743,0.63103,0.9351,0.0003764,0.0003764,0.0003764
84,897.171,0.76094,0.57192,0.95424,0.87877,0.74233,0.8392,0.64424,0.80057,0.62011,0.9331,0.0003566,0.0003566,0.0003566
85,907.87,0.75743,0.57117,0.95685,0.87835,0.74678,0.83749,0.64881,0.80155,0.63706,0.93244,0.0003368,0.0003368,0.0003368
86,918.568,0.75086,0.55832,0.95676,0.88659,0.73649,0.84188,0.65232,0.79618,0.62748,0.9315,0.000317,0.000317,0.000317
87,929.332,0.769,0.56295,0.9687,0.87894,0.74353,0.84481,0.65788,0.792,0.60716,0.92936,0.0002972,0.0002972,0.0002972
88,940.091,0.7527,0.57125,0.95888,0.88747,0.73938,0.84256,0.65166,0.79888,0.60391,0.93382,0.0002774,0.0002774,0.0002774
89,950.861,0.73335,0.54584,0.95062,0.89294,0.74654,0.84115,0.6568,0.79169,0.60945,0.93173,0.0002576,0.0002576,0.0002576
90,961.529,0.76564,0.56204,0.95865,0.88629,0.75029,0.84112,0.65268,0.79754,0.61433,0.93446,0.0002378,0.0002378,0.0002378
91,977.811,0.63893,0.46774,0.87687,0.9017,0.73477,0.83888,0.65154,0.80232,0.63822,0.93476,0.000218,0.000218,0.000218
92,988.206,0.65342,0.46203,0.88317,0.89644,0.74019,0.84463,0.65622,0.79307,0.59896,0.9323,0.0001982,0.0001982,0.0001982
93,998.838,0.64593,0.44784,0.87442,0.89632,0.74654,0.84718,0.65893,0.79004,0.60009,0.93108,0.0001784,0.0001784,0.0001784
94,1009.49,0.63315,0.44522,0.87081,0.91271,0.73221,0.84718,0.65838,0.78419,0.60042,0.92791,0.0001586,0.0001586,0.0001586
95,1020.03,0.63692,0.43995,0.87249,0.89957,0.73845,0.84636,0.66005,0.78863,0.60309,0.9292,0.0001388,0.0001388,0.0001388
96,1033.96,0.61383,0.42723,0.86621,0.89792,0.7404,0.84491,0.65813,0.78781,0.59815,0.92813,0.000119,0.000119,0.000119
97,1044.46,0.61803,0.43346,0.87282,0.88556,0.75013,0.84427,0.65717,0.78873,0.60128,0.92768,9.92e-05,9.92e-05,9.92e-05
98,1055,0.61348,0.43299,0.86694,0.89359,0.74757,0.84715,0.65972,0.78795,0.60001,0.92629,7.94e-05,7.94e-05,7.94e-05
99,1065.64,0.61362,0.42655,0.8648,0.87991,0.75934,0.84663,0.65885,0.7816,0.59389,0.92557,5.96e-05,5.96e-05,5.96e-05
100,1080.15,0.61037,0.4346,0.87287,0.89565,0.74859,0.84636,0.65981,0.78044,0.59277,0.92532,3.98e-05,3.98e-05,3.98e-05
