epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,326.12,1.74706,2.0865,1.3959,0.82656,0.78106,0.85735,0.42572,1.59627,1.21686,1.34488,0.00333094,0.00333094,0.00333094
2,702.616,1.66583,1.2659,1.35458,0.80631,0.79086,0.8508,0.4152,1.66903,1.05901,1.42859,0.0065983,0.0065983,0.0065983
3,1119.49,1.71217,1.20124,1.40231,0.79243,0.7374,0.8082,0.3731,1.8091,1.17272,1.51586,0.00979965,0.00979965,0.00979965
4,1580.53,1.70241,1.1576,1.4127,0.8485,0.82333,0.88464,0.45837,1.62262,0.955,1.41972,0.009703,0.009703,0.009703
5,2037.36,1.64826,1.0781,1.38597,0.85494,0.82762,0.90193,0.49495,1.50244,0.88947,1.35241,0.009604,0.009604,0.009604
6,2411.59,1.60643,1.03449,1.36826,0.8809,0.82773,0.9054,0.50079,1.52084,0.87816,1.36823,0.009505,0.009505,0.009505
7,2755.88,1.57988,1.00402,1.34763,0.86692,0.83276,0.90439,0.49459,1.50157,0.85617,1.3576,0.009406,0.009406,0.009406
8,3095.26,1.55442,0.96618,1.33718,0.87788,0.85878,0.92372,0.53393,1.45816,0.79019,1.32967,0.009307,0.009307,0.009307
9,3427.98,1.53742,0.95735,1.33298,0.87314,0.85469,0.92008,0.52654,1.45728,0.81231,1.33343,0.009208,0.009208,0.009208
10,3759.2,1.52164,0.94682,1.32317,0.88625,0.85267,0.92405,0.53988,1.41972,0.78716,1.31785,0.009109,0.009109,0.009109
11,4100.54,1.50485,0.92973,1.3097,0.86863,0.8708,0.92693,0.54588,1.40852,0.7737,1.30014,0.00901,0.00901,0.00901
12,4438.89,1.49141,0.91213,1.30624,0.87942,0.8621,0.92463,0.54951,1.38825,0.75422,1.28634,0.008911,0.008911,0.008911
13,4775.44,1.48107,0.90488,1.29281,0.88818,0.87565,0.93348,0.56697,1.36981,0.72264,1.27523,0.008812,0.008812,0.008812
14,5125.78,1.46666,0.88823,1.28497,0.88798,0.8819,0.9363,0.56441,1.37221,0.72216,1.27455,0.008713,0.008713,0.008713
15,5462.65,1.4584,0.88533,1.27912,0.89607,0.88169,0.93923,0.57612,1.34755,0.69856,1.26695,0.008614,0.008614,0.008614
16,5798.22,1.45622,0.88267,1.27929,0.89904,0.8818,0.94016,0.57494,1.35066,0.69763,1.26536,0.008515,0.008515,0.008515
17,6136.92,1.45165,0.8702,1.27291,0.9028,0.88243,0.94319,0.58456,1.32886,0.68674,1.25518,0.008416,0.008416,0.008416
18,6479.43,1.43777,0.86426,1.26768,0.89261,0.89368,0.94261,0.58986,1.31261,0.67943,1.24327,0.008317,0.008317,0.008317
19,6821.83,1.43252,0.85731,1.26349,0.90233,0.89479,0.94633,0.59053,1.31447,0.67084,1.24584,0.008218,0.008218,0.008218
20,7155.1,1.42712,0.84275,1.26416,0.90756,0.89584,0.94869,0.59763,1.29625,0.6592,1.23924,0.008119,0.008119,0.008119
